Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pageranks,Authority,Hub,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@guptathoughts,@guptathoughts,<[2020-09-26T15:47:17.150Z]>,User,,,,,,,Sun Jul 28 22:27:22 CDT 2019,,,,He/Him // Co-creator of @LetsFixAmerica_ // Opinions = Mine // #INFJ // #UBI // #BlackLivesMatter // #Bitcoin// #Travel ✈️ // #Music 🎶 // #RIPRBG,,http://pbs.twimg.com/profile_images/1309333336536489984/MrvFiI2e_bigger.jpg,1505,2037,Ⓜ️ayank G | Let's 🦅 Fix 🔧 America 🇺🇲 | 🍎📕🕯️,"Minneapolis, MN",,,,0,2,2,0,2,2,0.000678,0,0.041058,12,2,0.625,0.7,0
@felon_fred,@felon_fred,"<[2020-09-26T15:47:17.150Z, 2020-09-26T15:49:26.660Z, 2020-09-26T15:50:56.717Z, 2020-09-26T15:52:46.968Z, 2020-09-26T15:54:22.021Z]>",User,,,,,,,,,,,,,,,,,,,,,3,0,3,5,0,5,0.001401,0.005083,0,12,0,0,0,0
@elonmusk,@elonmusk,"<[2020-09-26T15:47:17.150Z, 2020-09-26T15:47:17.251Z, 2020-09-26T15:47:17.623Z, 2020-09-26T15:47:18.279Z, 2020-09-26T15:47:18.652Z, 2020-09-26T15:47:19.386Z, 2020-09-26T15:47:21.484Z, 2020-09-26T15:47:21.863Z, 2020-09-26T15:47:22.159Z, 2020-09-26T15:47:23.638Z, 2020-09-26T15:47:25.930Z, 2020-09-26T15:47:29.673Z, 2020-09-26T15:47:30.998Z, 2020-09-26T15:47:31.996Z, 2020-09-26T15:47:33.500Z, 2020-09-26T15:47:35.126Z, 2020-09-26T15:47:35.938Z, 2020-09-26T15:47:36.018Z, 2020-09-26T15:47:41.966Z, 2020-09-26T15:47:46.775Z, 2020-09-26T15:47:47.186Z, 2020-09-26T15:47:47.457Z, 2020-09-26T15:47:52.832Z, 2020-09-26T15:47:53.400Z, 2020-09-26T15:47:54.954Z, 2020-09-26T15:47:57.665Z, 2020-09-26T15:47:57.758Z, 2020-09-26T15:47:59.685Z, 2020-09-26T15:48:01.449Z, 2020-09-26T15:48:04.337Z, 2020-09-26T15:48:07.946Z, 2020-09-26T15:48:08.448Z, 2020-09-26T15:48:08.626Z, 2020-09-26T15:48:13.178Z, 2020-09-26T15:48:13.677Z, 2020-09-26T15:48:14.250Z, 2020-09-26T15:48:16.207Z, 2020-09-26T15:48:33.313Z, 2020-09-26T15:48:37.225Z, 2020-09-26T15:48:37.338Z, 2020-09-26T15:48:38.843Z, 2020-09-26T15:48:40.307Z, 2020-09-26T15:48:40.457Z, 2020-09-26T15:48:43.263Z, 2020-09-26T15:48:44.517Z, 2020-09-26T15:48:44.569Z, 2020-09-26T15:48:47.444Z, 2020-09-26T15:48:48.766Z, 2020-09-26T15:48:50.426Z, 2020-09-26T15:48:52.167Z, 2020-09-26T15:48:52.571Z, 2020-09-26T15:48:53.533Z, 2020-09-26T15:48:53.823Z, 2020-09-26T15:48:54.872Z, 2020-09-26T15:49:00.684Z, 2020-09-26T15:49:01.418Z, 2020-09-26T15:49:01.847Z, 2020-09-26T15:49:02.755Z, 2020-09-26T15:49:03.232Z, 2020-09-26T15:49:03.266Z, 2020-09-26T15:49:06.942Z, 2020-09-26T15:49:08.802Z, 2020-09-26T15:49:11.118Z, 2020-09-26T15:49:11.371Z, 2020-09-26T15:49:12.127Z, 2020-09-26T15:49:15.154Z, 2020-09-26T15:49:16.377Z, 2020-09-26T15:49:17.579Z, 2020-09-26T15:49:26.660Z, 2020-09-26T15:49:29.236Z, 2020-09-26T15:49:31.193Z, 2020-09-26T15:49:31.194Z, 2020-09-26T15:49:33.644Z, 2020-09-26T15:49:38.471Z, 2020-09-26T15:49:41.182Z, 2020-09-26T15:49:44.422Z, 2020-09-26T15:49:49.063Z, 2020-09-26T15:49:50.528Z, 2020-09-26T15:49:50.787Z, 2020-09-26T15:49:52.707Z, 2020-09-26T15:49:55.985Z, 2020-09-26T15:49:59.241Z, 2020-09-26T15:50:01.300Z, 2020-09-26T15:50:01.785Z, 2020-09-26T15:50:03.257Z, 2020-09-26T15:50:03.395Z, 2020-09-26T15:50:04.983Z, 2020-09-26T15:50:07.653Z, 2020-09-26T15:50:07.745Z, 2020-09-26T15:50:08.688Z, 2020-09-26T15:50:08.689Z, 2020-09-26T15:50:10.036Z, 2020-09-26T15:50:10.286Z, 2020-09-26T15:50:15.559Z, 2020-09-26T15:50:17.267Z, 2020-09-26T15:50:18.973Z, 2020-09-26T15:50:20.413Z, 2020-09-26T15:50:22.003Z, 2020-09-26T15:50:25.035Z, 2020-09-26T15:50:26.416Z, 2020-09-26T15:50:29.162Z, 2020-09-26T15:50:30.230Z, 2020-09-26T15:50:31.614Z, 2020-09-26T15:50:33.597Z, 2020-09-26T15:50:34.392Z, 2020-09-26T15:50:35.217Z, 2020-09-26T15:50:37.804Z, 2020-09-26T15:50:37.873Z, 2020-09-26T15:50:39.308Z, 2020-09-26T15:50:39.499Z, 2020-09-26T15:50:39.911Z, 2020-09-26T15:50:39.913Z, 2020-09-26T15:50:41.332Z, 2020-09-26T15:50:42.279Z, 2020-09-26T15:50:43.350Z, 2020-09-26T15:50:45.346Z, 2020-09-26T15:50:50.621Z, 2020-09-26T15:50:52.785Z, 2020-09-26T15:50:56.717Z, 2020-09-26T15:50:58.263Z, 2020-09-26T15:51:03.784Z, 2020-09-26T15:51:05.243Z, 2020-09-26T15:51:07.656Z, 2020-09-26T15:51:10.546Z, 2020-09-26T15:51:16.846Z, 2020-09-26T15:51:17.901Z, 2020-09-26T15:51:22.237Z, 2020-09-26T15:51:23.652Z, 2020-09-26T15:51:24.674Z, 2020-09-26T15:51:25.768Z, 2020-09-26T15:51:28.627Z, 2020-09-26T15:51:29.995Z, 2020-09-26T15:51:30.683Z, 2020-09-26T15:51:32.845Z, 2020-09-26T15:51:33.994Z, 2020-09-26T15:51:37.674Z, 2020-09-26T15:51:40.609Z, 2020-09-26T15:51:42.779Z, 2020-09-26T15:51:43.659Z, 2020-09-26T15:51:45.990Z, 2020-09-26T15:51:49.662Z, 2020-09-26T15:51:51.837Z, 2020-09-26T15:51:52.404Z, 2020-09-26T15:52:00.771Z, 2020-09-26T15:52:01.423Z, 2020-09-26T15:52:04.491Z, 2020-09-26T15:52:04.971Z, 2020-09-26T15:52:06.148Z, 2020-09-26T15:52:06.464Z, 2020-09-26T15:52:06.522Z, 2020-09-26T15:52:10.599Z, 2020-09-26T15:52:13.024Z, 2020-09-26T15:52:13.419Z, 2020-09-26T15:52:13.657Z, 2020-09-26T15:52:16.909Z, 2020-09-26T15:52:17.963Z, 2020-09-26T15:52:19.015Z, 2020-09-26T15:52:23.249Z, 2020-09-26T15:52:23.667Z, 2020-09-26T15:52:24.823Z, 2020-09-26T15:52:26.451Z, 2020-09-26T15:52:28.127Z, 2020-09-26T15:52:28.147Z, 2020-09-26T15:52:28.945Z, 2020-09-26T15:52:30.672Z, 2020-09-26T15:52:31.223Z, 2020-09-26T15:52:32.001Z, 2020-09-26T15:52:33.169Z, 2020-09-26T15:52:35.838Z, 2020-09-26T15:52:36.711Z, 2020-09-26T15:52:37.456Z, 2020-09-26T15:52:39.116Z, 2020-09-26T15:52:39.936Z, 2020-09-26T15:52:40.106Z, 2020-09-26T15:52:43.309Z, 2020-09-26T15:52:44.663Z, 2020-09-26T15:52:46.968Z, 2020-09-26T15:52:47.759Z, 2020-09-26T15:52:48.924Z, 2020-09-26T15:52:49.970Z, 2020-09-26T15:52:50.279Z, 2020-09-26T15:52:51.217Z, 2020-09-26T15:52:52.782Z, 2020-09-26T15:52:54.855Z, 2020-09-26T15:52:59.297Z, 2020-09-26T15:53:00.993Z, 2020-09-26T15:53:02.597Z, 2020-09-26T15:53:02.912Z, 2020-09-26T15:53:06.009Z, 2020-09-26T15:53:06.477Z, 2020-09-26T15:53:06.618Z, 2020-09-26T15:53:07.104Z, 2020-09-26T15:53:08.965Z, 2020-09-26T15:53:12.218Z, 2020-09-26T15:53:14.466Z, 2020-09-26T15:53:16.066Z, 2020-09-26T15:53:19.712Z, 2020-09-26T15:53:20.479Z, 2020-09-26T15:53:21.035Z, 2020-09-26T15:53:23.715Z, 2020-09-26T15:53:24.572Z, 2020-09-26T15:53:25.279Z, 2020-09-26T15:53:25.309Z, 2020-09-26T15:53:26.518Z, 2020-09-26T15:53:26.525Z, 2020-09-26T15:53:29.726Z, 2020-09-26T15:53:33.337Z, 2020-09-26T15:53:36.107Z, 2020-09-26T15:53:38.189Z, 2020-09-26T15:53:38.980Z, 2020-09-26T15:53:45.612Z, 2020-09-26T15:53:45.940Z, 2020-09-26T15:53:52.743Z, 2020-09-26T15:53:54.098Z, 2020-09-26T15:53:54.099Z, 2020-09-26T15:53:57.707Z, 2020-09-26T15:53:59.579Z, 2020-09-26T15:53:59.744Z, 2020-09-26T15:54:00.321Z, 2020-09-26T15:54:01.198Z, 2020-09-26T15:54:01.545Z, 2020-09-26T15:54:02.074Z, 2020-09-26T15:54:03.123Z, 2020-09-26T15:54:03.798Z, 2020-09-26T15:54:05.977Z, 2020-09-26T15:54:06.760Z, 2020-09-26T15:54:06.861Z, 2020-09-26T15:54:08.703Z, 2020-09-26T15:54:09.205Z, 2020-09-26T15:54:09.479Z, 2020-09-26T15:54:13.692Z, 2020-09-26T15:54:15.192Z, 2020-09-26T15:54:18.291Z, 2020-09-26T15:54:18.352Z, 2020-09-26T15:54:18.676Z, 2020-09-26T15:54:18.861Z, 2020-09-26T15:54:19.322Z, 2020-09-26T15:54:19.401Z, 2020-09-26T15:54:20.915Z, 2020-09-26T15:54:22.021Z, 2020-09-26T15:54:22.661Z, 2020-09-26T15:54:24.620Z, 2020-09-26T15:54:27.787Z, 2020-09-26T15:54:29.221Z, 2020-09-26T15:54:29.248Z, 2020-09-26T15:54:29.841Z, 2020-09-26T15:54:34.656Z, 2020-09-26T15:54:35.254Z, 2020-09-26T15:54:37.607Z, 2020-09-26T15:54:39.092Z, 2020-09-26T15:54:39.334Z, 2020-09-26T15:54:40.225Z, 2020-09-26T15:54:42.404Z, 2020-09-26T15:54:42.433Z, 2020-09-26T15:54:43.726Z, 2020-09-26T15:54:47.003Z, 2020-09-26T15:54:48.286Z, 2020-09-26T15:54:51.620Z, 2020-09-26T15:54:52.644Z, 2020-09-26T15:54:53.685Z, 2020-09-26T15:54:53.781Z, 2020-09-26T15:54:54.737Z, 2020-09-26T15:54:54.738Z, 2020-09-26T15:54:58.291Z, 2020-09-26T15:54:59.970Z, 2020-09-26T15:55:07.224Z, 2020-09-26T15:55:09.407Z, 2020-09-26T15:55:09.719Z, 2020-09-26T15:55:10.250Z, 2020-09-26T15:55:12.121Z, 2020-09-26T15:55:15.218Z, 2020-09-26T15:55:16.016Z, 2020-09-26T15:55:17.487Z, 2020-09-26T15:55:20.654Z, 2020-09-26T15:55:23.162Z, 2020-09-26T15:55:23.951Z, 2020-09-26T15:55:25.594Z, 2020-09-26T15:55:26.885Z, 2020-09-26T15:55:29.589Z, 2020-09-26T15:55:30.053Z, 2020-09-26T15:55:30.069Z, 2020-09-26T15:55:30.479Z, 2020-09-26T15:55:34.621Z, 2020-09-26T15:55:35.522Z, 2020-09-26T15:55:36.948Z, 2020-09-26T15:55:37.842Z]>",User,,,,,,,Tue Jun 02 15:12:29 CDT 2009,,,,,,http://pbs.twimg.com/profile_images/1295975423654977537/dHw9JcrK_bigger.jpg,97,38943903,Elon Musk,,,,,391,3,394,460,4,464,0.16896,0.990981,0.001897,14,1,1,1,916.5
@heisenberg733,@heisenberg733,<[2020-09-26T15:47:17.251Z]>,User,,,,,,,Fri Jul 15 18:32:41 CDT 2016,,,,"Engineer - like provocative ideas, open minds, small government, and Gen 4 nuclear",,http://pbs.twimg.com/profile_images/1249055491575156742/Ic_s_fw7_bigger.jpg,190,50,Heisenberg,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@worstsongever69,@worstsongever69,<[2020-09-26T15:47:17.623Z]>,User,,,,,,,Tue Oct 24 10:37:01 CDT 2017,,,,"Former homeless drug addict. Current Day Trader. Dog lover, blues guitar, and all around humanitarian. People UNITE!! Always long BiTCoin & $TSLA 🇨🇦🤓💪🏽🔥🦄",,http://pbs.twimg.com/profile_images/1191941536432500737/h4nZYUbz_bigger.jpg,301,119,Tom Joad,"Victoria, British Columbia",,,,0,2,2,0,2,2,0.000678,0,0.04113,10,3,0.538462,0.619048,0
@adamhoov,@adamhoov,"<[2020-09-26T15:47:17.623Z, 2020-09-26T15:48:50.426Z, 2020-09-26T15:50:15.559Z, 2020-09-26T15:52:10.599Z, 2020-09-26T15:53:45.940Z]>",User,,,,,,,Thu Oct 16 13:42:38 CDT 2014,,,,"Tsla fan, model 3 owner, fsd secured, sustainability, wim hof, still not selling a share before 10k, type 1 diabetic 💪, Cybertruck reservation holder (x5)",,http://pbs.twimg.com/profile_images/1286145224511610881/x9FicqPd_bigger.jpg,1821,1774,Adam 🔋,"California ",,,,5,3,8,5,4,9,0.002028,0.006816,0.041138,10,2,0.6,0.666667,12
@tandakaram,@tandakaram,"<[2020-09-26T15:47:18.279Z, 2020-09-26T15:47:23.638Z]>",User,,,,,,,Sat Nov 23 04:53:52 CST 2019,,,,"I love animals, cars, games, photographer, technology and RGB

YouTube= https://www.youtube.com/channel/UCCv4W8YuKCxqqIC2rDbg6Aw?view_as=subscriber",,http://pbs.twimg.com/profile_images/1281547938011983878/Wnou7QTV_bigger.jpg,93,12,KsT,"Trondheim, Norway",,,,0,3,3,0,5,5,0.000678,0,0.041128,0,2,0.625,0.7,0
@supersaf,@supersaf,"<[2020-09-26T15:47:18.279Z, 2020-09-26T15:47:23.638Z]>",User,,,,,,,Wed Apr 01 06:44:52 CDT 2009,,,,▶️ Content Creator #Tech | #Travel | #Lifestyle,,http://pbs.twimg.com/profile_images/1296205634468184066/aC5j0oJY_bigger.jpg,915,238540,Safwan AhmedMia,"Leicester, UK",,,,2,1,3,3,1,4,0.000871,0.003391,0.040849,0,2,0.571429,0.625,0
@bruingaucho,@bruingaucho,<[2020-09-26T15:47:18.652Z]>,User,,,,,,,Sun Aug 05 02:59:58 CDT 2012,,,,,,http://pbs.twimg.com/profile_images/541328068980518913/xMNyZ7rg_bigger.jpeg,594,30,Gaucho Bruin,,,,,0,3,3,0,3,3,0.000678,0,0.043101,4,2,0.666667,0.75,0
@flcnhvy,@flcnhvy,"<[2020-09-26T15:47:18.652Z, 2020-09-26T15:47:57.758Z, 2020-09-26T15:49:12.127Z, 2020-09-26T15:49:31.193Z, 2020-09-26T15:49:31.194Z, 2020-09-26T15:50:01.785Z, 2020-09-26T15:50:20.413Z, 2020-09-26T15:50:39.911Z, 2020-09-26T15:53:38.980Z, 2020-09-26T15:55:29.589Z, 2020-09-26T15:55:30.479Z]>",User,,,,,,,Wed Nov 07 08:41:55 CST 2018,,,,Comms design @ HSD PBSA,,http://pbs.twimg.com/profile_images/1306903821822685188/nmAv_OMq_bigger.jpg,352,45157,Viv 🐉,,,,,9,1,10,12,1,13,0.00214,0.017639,0.040849,4,2,0.571429,0.625,0
