Id,Label,timeset,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,pageranks,indegree,outdegree,Degree
jagadeesh_ande,jagadeesh_ande,,14,5,1,1,1,42,0,0.000729,1,14,15
amoghvs,amoghvs,,56,4,2,0.510324,0.520231,2602,0.002922,0.000733,2,56,58
BharathGowda_,BharathGowda_,,84,6,3,0.352163,0.380299,164,0.000143,0.000729,1,84,85
abhishekmarv,abhishekmarv,,0,4,0,0,0,0,1,0.000736,2,0,2
DeepakK71902735,DeepakK71902735,,2,2,1,1,1,6,0.166667,0.000736,2,2,4
LooksRose,LooksRose,,932,0,1,1,1,2784,0,0.000729,1,928,929
SaiKris45066627,SaiKris45066627,,155,1,1,1,1,462,0.000041,0.000729,1,155,156
ashish_26,ashish_26,,80,2,3,0.351537,0.378492,154,0.000316,0.000729,1,80,81
vintobesucc,vintobesucc,,17,3,1,1,1,51,0,0.000729,1,17,18
SaiKris79014218,SaiKris79014218,,2,4,1,1,1,6,0,0.000729,1,2,3
karan_sanghvi1,karan_sanghvi1,,57,4,1,1,1,156,0.001512,0.000729,1,57,58
gamar_osmann,gamar_osmann,,9,4,0,0,0,0,0,0.000729,1,0,1
MDMOSABBIRHOS11,MDMOSABBIRHOS11,,96,4,0,0,0,0,0,0.000729,1,0,1
KethanNaidu,KethanNaidu,,1,4,0,0,0,0,0,0.000729,1,0,1
kumarankitsheor,kumarankitsheor,,7,4,0,0,0,0,0,0.000729,1,0,1
ppsaagar,ppsaagar,,222,4,0,0,0,0,0,0.000729,1,0,1
ukgowda79,ukgowda79,,8,4,0,0,0,0,0,0.000729,1,0,1
aditya_thilak,aditya_thilak,,18,4,0,0,0,0,0,0.000729,1,0,1
gagank21,gagank21,,10,4,0,0,0,0,0,0.000729,1,0,1
7adarsh7,7adarsh7,,10,4,0,0,0,0,0,0.000729,1,0,1
anirudhanand14,anirudhanand14,,2,4,0,0,0,0,0,0.000729,1,0,1
VickyKrishna127,VickyKrishna127,,16,4,0,0,0,0,0,0.000729,1,0,1
piyush_kmishra,piyush_kmishra,,22,4,0,0,0,0,0,0.000729,1,0,1
yash_yorky,yash_yorky,,23,4,0,0,0,0,0,0.000729,1,0,1
Muthu782,Muthu782,,36,4,0,0,0,0,0,0.000729,1,0,1
swekrathistar,swekrathistar,,6,4,0,0,0,0,0,0.000729,1,0,1
Rockon1312,Rockon1312,,24,4,0,0,0,0,0,0.000729,1,0,1
maddurajaykumar,maddurajaykumar,,10,4,0,0,0,0,0.5,0.00074,2,0,2
lokeshnaidu25,lokeshnaidu25,,14,4,0,0,0,0,0,0.000729,1,0,1
indu9525,indu9525,,3,4,0,0,0,0,0,0.000729,1,0,1
raj07indcsk,raj07indcsk,,18,4,0,0,0,0,0,0.000729,1,0,1
ganeshpadamukh1,ganeshpadamukh1,,9,4,0,0,0,0,0,0.000729,1,0,1
nagaruruharish,nagaruruharish,,39,4,0,0,0,0,0,0.000729,1,0,1
shrikar_7,shrikar_7,,8,4,0,0,0,0,0,0.000729,1,0,1
Nivviani,Nivviani,,41,4,0,0,0,0,0,0.000729,1,0,1
mkmonu65,mkmonu65,,75,2,0,0,0,0,1,0.000736,2,0,2
sharangop,sharangop,,92,4,0,0,0,0,0,0.000729,1,0,1
AbijithKavi,AbijithKavi,,6,4,0,0,0,0,0,0.000729,1,0,1
varun_tg,varun_tg,,3,4,0,0,0,0,0,0.000729,1,0,1
BhutdaAkshay,BhutdaAkshay,,277,4,0,0,0,0,0,0.000729,1,0,1
nmdchoyal,nmdchoyal,,434,4,0,0,0,0,0,0.000729,1,0,1
Bonnieblue1306,Bonnieblue1306,,11,4,0,0,0,0,0.5,0.00074,2,0,2
mathew_om,mathew_om,,16,4,0,0,0,0,0.5,0.00074,2,0,2
mayurb21,mayurb21,,9,4,0,0,0,0,0,0.000729,1,0,1
abhishek_dugar,abhishek_dugar,,83,4,0,0,0,0,0,0.000729,1,0,1
Gemmafd1993,Gemmafd1993,,145,4,0,0,0,0,0,0.000729,1,0,1
